2023-05-16 21:05:136 INFO  HomePage :66 - Send text to Last Name : [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> id: LastName]
2023-05-16 21:05:229 INFO  HomePage :72 - Send text to email : [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> id: Email]
2023-05-16 21:05:312 INFO  HomePage :78 - Send text to password : [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> id: Password]
2023-05-16 21:05:520 INFO  HomePage :90 - Click on register [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> id: register-button]
2023-05-16 21:05:549 INFO  HomePage :96 - Verify Text from Webpage
2023-05-16 21:05:203 INFO  HomePage :102 - Click on continue [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> xpath: //a[contains(text(),'Continue')]]
2023-05-16 21:05:242 INFO  HomePage :51 - Verify Text from Webpage
2023-05-16 21:05:589 INFO  ComputerPage :22 - Click on desktops : [[ChromeDriver: chrome on WINDOWS (cf47fb311c0b804893a43d5fb5f71590)] -> xpath: //div[@class='block block-category-navigation']/descendant::a[2]]
2023-05-16 21:05:983 INFO  ComputerPage :22 - Click on desktops : [[ChromeDriver: chrome on WINDOWS (7538c965f565d40d157e00c82990af1e)] -> xpath: //div[@class='block block-category-navigation']/descendant::a[2]]
2023-05-16 21:05:571 INFO  BuildYourOwnComputerPage :66 - Verify text from webpage
2023-05-16 21:05:737 INFO  BuildYourOwnComputerPage :74 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (7538c965f565d40d157e00c82990af1e)] -> id: product_attribute_1]
2023-05-16 21:05:933 INFO  BuildYourOwnComputerPage :82 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (7538c965f565d40d157e00c82990af1e)] -> id: product_attribute_2]
2023-05-16 21:05:116 INFO  BuildYourOwnComputerPage :90 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (7538c965f565d40d157e00c82990af1e)] -> id: product_attribute_3_7]
2023-05-16 21:05:265 INFO  BuildYourOwnComputerPage :97 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (7538c965f565d40d157e00c82990af1e)] -> id: product_attribute_4_9]
2023-05-16 21:05:420 INFO  BuildYourOwnComputerPage :105 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (7538c965f565d40d157e00c82990af1e)] -> id: product_attribute_5_12]
2023-05-16 21:05:950 INFO  ComputerPage :22 - Click on desktops : [[ChromeDriver: chrome on WINDOWS (0375a5402558c33cdab142bb66b836e9)] -> xpath: //div[@class='block block-category-navigation']/descendant::a[2]]
2023-05-16 21:05:818 INFO  BuildYourOwnComputerPage :66 - Verify text from webpage
2023-05-16 21:05:958 INFO  BuildYourOwnComputerPage :74 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (0375a5402558c33cdab142bb66b836e9)] -> id: product_attribute_1]
2023-05-16 21:05:159 INFO  BuildYourOwnComputerPage :82 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (0375a5402558c33cdab142bb66b836e9)] -> id: product_attribute_2]
2023-05-16 21:05:319 INFO  BuildYourOwnComputerPage :90 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (0375a5402558c33cdab142bb66b836e9)] -> id: product_attribute_3_7]
2023-05-16 21:05:467 INFO  BuildYourOwnComputerPage :97 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (0375a5402558c33cdab142bb66b836e9)] -> id: product_attribute_4_9]
2023-05-16 21:05:619 INFO  BuildYourOwnComputerPage :105 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (0375a5402558c33cdab142bb66b836e9)] -> id: product_attribute_5_12]
2023-05-16 21:05:527 INFO  ComputerPage :22 - Click on desktops : [[ChromeDriver: chrome on WINDOWS (334a783ae2e2f9075438ca7f3f7d8f96)] -> xpath: //div[@class='block block-category-navigation']/descendant::a[2]]
2023-05-16 21:05:31 INFO  BuildYourOwnComputerPage :66 - Verify text from webpage
2023-05-16 21:05:182 INFO  BuildYourOwnComputerPage :74 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (334a783ae2e2f9075438ca7f3f7d8f96)] -> id: product_attribute_1]
2023-05-16 21:05:392 INFO  BuildYourOwnComputerPage :82 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (334a783ae2e2f9075438ca7f3f7d8f96)] -> id: product_attribute_2]
2023-05-16 21:05:590 INFO  BuildYourOwnComputerPage :90 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (334a783ae2e2f9075438ca7f3f7d8f96)] -> id: product_attribute_3_7]
2023-05-16 21:05:755 INFO  BuildYourOwnComputerPage :97 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (334a783ae2e2f9075438ca7f3f7d8f96)] -> id: product_attribute_4_9]
2023-05-16 21:05:920 INFO  BuildYourOwnComputerPage :105 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (334a783ae2e2f9075438ca7f3f7d8f96)] -> id: product_attribute_5_12]
2023-05-16 21:05:31 INFO  ComputerPage :22 - Click on desktops : [[ChromeDriver: chrome on WINDOWS (eeb221b42e6bdb080ddef730aad027d1)] -> xpath: //div[@class='block block-category-navigation']/descendant::a[2]]
2023-05-16 21:05:46 INFO  BuildYourOwnComputerPage :66 - Verify text from webpage
2023-05-16 21:05:292 INFO  BuildYourOwnComputerPage :74 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (eeb221b42e6bdb080ddef730aad027d1)] -> id: product_attribute_1]
2023-05-16 21:05:664 INFO  BuildYourOwnComputerPage :82 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (eeb221b42e6bdb080ddef730aad027d1)] -> id: product_attribute_2]
2023-05-16 21:05:867 INFO  BuildYourOwnComputerPage :90 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (eeb221b42e6bdb080ddef730aad027d1)] -> id: product_attribute_3_7]
2023-05-16 21:05:91 INFO  BuildYourOwnComputerPage :97 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (eeb221b42e6bdb080ddef730aad027d1)] -> id: product_attribute_4_9]
2023-05-16 21:05:295 INFO  BuildYourOwnComputerPage :105 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (eeb221b42e6bdb080ddef730aad027d1)] -> id: product_attribute_5_12]
2023-05-16 21:05:495 INFO  BuildYourOwnComputerPage :120 - Click on add to cart [[ChromeDriver: chrome on WINDOWS (eeb221b42e6bdb080ddef730aad027d1)] -> id: add-to-cart-button-1]
2023-05-16 21:05:785 INFO  BuildYourOwnComputerPage :128 - Verify text from webpage
2023-05-16 21:05:926 INFO  BuildYourOwnComputerPage :135 - Click on cross Button [[ChromeDriver: chrome on WINDOWS (eeb221b42e6bdb080ddef730aad027d1)] -> xpath: //span[@title='Close']]
2023-05-16 21:05:451 INFO  BuildYourOwnComputerPage :143 - Mouse hover on add to cart [[ChromeDriver: chrome on WINDOWS (eeb221b42e6bdb080ddef730aad027d1)] -> xpath: //span[text()='Shopping cart']]
2023-05-16 21:05:534 INFO  BuildYourOwnComputerPage :151 - Click on add to cart [[ChromeDriver: chrome on WINDOWS (eeb221b42e6bdb080ddef730aad027d1)] -> xpath: //button[text()='Go to cart']]
2023-05-16 21:05:613 INFO  HomePage :51 - Verify Text from Webpage
2023-05-16 21:05:639 INFO  HomePage :60 - Change quantity and update cart [[ChromeDriver: chrome on WINDOWS (eeb221b42e6bdb080ddef730aad027d1)] -> id: updatecart]
2023-05-16 21:05:712 INFO  HomePage :66 - Verify Text from Webpage
2023-05-16 21:05:835 INFO  HomePage :73 - Click on terms and conditon [[ChromeDriver: chrome on WINDOWS (eeb221b42e6bdb080ddef730aad027d1)] -> id: termsofservice]
2023-05-16 21:05:834 INFO  ComputerPage :22 - Click on desktops : [[ChromeDriver: chrome on WINDOWS (76d8c521c38c20080f808fe0b1718377)] -> xpath: //div[@class='block block-category-navigation']/descendant::a[2]]
2023-05-16 21:05:859 INFO  BuildYourOwnComputerPage :66 - Verify text from webpage
2023-05-16 21:05:24 INFO  BuildYourOwnComputerPage :74 - Click on product and add to cart [[ChromeDriver: chrome on WINDOWS (76d8c521c38c20080f808fe0b1718377)] -> id: product_attribute_1]
